date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:49	1550/1550	---M--	200	added ('OK')	text/plain	date:Sat,%2028%20Apr%202018%2005:33:20%20GMT	http://saopaulo.drupalcamp.com.br/robots.txt		(from )
12:56:50	64637/64637	---MCZ	200	added ('OK')	text/html	etag:%221528041168-1%22	http://saopaulo.drupalcamp.com.br/	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/index.html	(from )
12:56:50	6176/6176	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Oct%202017%2005:40:46%20GMT	http://saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css	(from http://saopaulo.drupalcamp.com.br/)
12:56:51	15846/15846	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Oct%202017%2005:40:46%20GMT	http://saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/css/css_xD0LxSb8ZrQZhbCr57ntwWxQKrWJQng4cQwhovYslfE.css	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/css/css_xD0LxSb8ZrQZhbCr57ntwWxQKrWJQng4cQwhovYslfE.css	(from http://saopaulo.drupalcamp.com.br/)
12:56:52	12332/12332	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Oct%202017%2005:40:46%20GMT	http://saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/css/css_AAnPnOa-LbI7dEv01pcEbuuipLbMZfpk_c84KFmpxnE.css	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/css/css_AAnPnOa-LbI7dEv01pcEbuuipLbMZfpk_c84KFmpxnE.css	(from http://saopaulo.drupalcamp.com.br/)
12:56:53	6026/6026	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Oct%202017%2005:40:46%20GMT	http://saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/css/css_gWeu3RIgwwEdyUZHE71vk0989K9383vZXC6Tmyq16Xo.css	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/css/css_gWeu3RIgwwEdyUZHE71vk0989K9383vZXC6Tmyq16Xo.css	(from http://saopaulo.drupalcamp.com.br/)
12:56:54	179609/179609	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Oct%202017%2005:40:47%20GMT	http://saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/css/css_bNTPp8D0cUuaefo1uEuyyddB03PECvdU3nTK1Is6B5M.css	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/css/css_bNTPp8D0cUuaefo1uEuyyddB03PECvdU3nTK1Is6B5M.css	(from http://saopaulo.drupalcamp.com.br/)
12:56:58	17522/17522	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2007%20Oct%202017%2005:40:38%20GMT	http://saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/js/js_IkgOrrVZK1UTp2HktvFi5vo1g7b25Muyr5GoySikuic.js	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/js/js_IkgOrrVZK1UTp2HktvFi5vo1g7b25Muyr5GoySikuic.js	(from http://saopaulo.drupalcamp.com.br/)
12:57:02	29110/29110	---M-Z	200	added ('OK')	application/javascript	etag:%221519106282%22	http://maxcdn.bootstrapcdn.com/bootstrap/3.1.1/js/bootstrap.min.js	/home/william/websites/drupalcamp2017/maxcdn.bootstrapcdn.com/bootstrap/3.1.1/js/bootstrap.min.js	(from http://saopaulo.drupalcamp.com.br/)
12:57:06	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	/home/william/websites/drupalcamp2017/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from http://saopaulo.drupalcamp.com.br/)
12:57:08	38030/38030	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2007%20Oct%202017%2005:40:47%20GMT	http://saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/js/js_9PoCIpaBdXzAfwjeoO2ibi_TtEs6jMROpVOwk-_WIBw.js	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/js/js_9PoCIpaBdXzAfwjeoO2ibi_TtEs6jMROpVOwk-_WIBw.js	(from http://saopaulo.drupalcamp.com.br/)
12:57:08	2549/2549	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2007%20Oct%202017%2005:40:47%20GMT	http://saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/js/js_0am8cn8pqb9kbYPFLL2j3Jp-K2ZKlV1nOcqoCBS53hk.js	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/js/js_0am8cn8pqb9kbYPFLL2j3Jp-K2ZKlV1nOcqoCBS53hk.js	(from http://saopaulo.drupalcamp.com.br/)
12:57:12	63255/63255	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Oct%202017%2014:58:21%20GMT	http://saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/js/js_TJIicOYd5l-karXzJbPU9U0XmwCDPpnCmbPqNxzMvLQ.js	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/js/js_TJIicOYd5l-karXzJbPU9U0XmwCDPpnCmbPqNxzMvLQ.js	(from http://saopaulo.drupalcamp.com.br/)
12:57:14	6786/6786	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Oct%202017%2014:58:21%20GMT	http://saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/js/js_5Aob2t4yg02hinfzqZNNc-GLNhqkVzPG6-mUEJ95JcY.js	/home/william/websites/drupalcamp2017/saopaulo.drupalcamp.com.br/sites/saopaulo.drupalcamp.com.br/files/js/js_5Aob2t4yg02hinfzqZNNc-GLNhqkVzPG6-mUEJ95JcY.js	(from http://saopaulo.drupalcamp.com.br/)
